Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
01_NavigateToWebsite,5,5987,6137,6293,6314,6314,5401,6314,0.000%,.74372,52.38,1.61
43 /,5,5987,6137,6293,6314,6314,5401,6314,0.000%,.75415,53.11,1.63
02_Reseve,5,11577,4246,23264,23905,23905,2958,23905,40.000%,.20916,12.62,0.56
66 /reserve.php,5,11577,4246,23264,23905,23905,2958,23905,40.000%,.20916,12.62,0.56
03_ChooseThisFlight,5,3293,3271,3372,3432,3432,3155,3432,0.000%,.20963,14.87,0.63
81 /purchase.php,5,3293,3271,3372,3432,3432,3155,3432,0.000%,.20963,14.87,0.63
04_PurchaseThisFlight,5,3256,3234,3374,3390,3390,3132,3390,0.000%,.20829,14.71,0.66
82 /confirmation.php,5,3256,3234,3374,3390,3390,3132,3390,0.000%,.20830,14.71,0.66
TOTAL,40,6028,3390,6314,23264,23905,2958,23905,10.000%,1.07446,73.15,2.96
